pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
1,0,1,5,8,6,PenaltySolver,1.171875,2.734375,91.42830876974804,31,8.512579578149598,505.7489708758658,17408
1,0,1,1,8,6,ChocoSolver,1.3671875,2.1484375,94.44232531209275,16,4.463472902076319,292.3567808679072,9216
1,0,1,5,8,6,QtoSolver,1.171875,3.125,91.1502756816763,31,8.702935712179169,504.8968894468271,17408
1,0,1,5,8,6,QtoSimplifySolver,1.953125,3.125,93.34846042303032,31,8.712804795824923,505.1287537642056,17408
1,0,1,5,8,6,QtoSimplifyDiscardSolver,1.171875,3.3203125,88.7911304624758,31,8.91405010811286,504.73491809586994,17408
1,0,1,5,8,6,QtoSimplifyDiscardSegmentedSolver,34.09090909090909,100.0,0.385026737741428,31,33.42678041086765,24303.304256885138,377856
1,0,2,5,8,6,HeaSolver,0.390625,1.5625,200.13053368739122,31,8.308969917998184,504.6586723700166,17408
1,0,2,5,8,6,PenaltySolver,0,1.171875,196.0322263991398,31,8.685373688174877,504.645745953836,17408
1,0,2,1,8,6,ChocoSolver,0.5859375,0.9765625,201.5807289986827,15,3.930853246944025,293.33924369502347,8704
1,0,2,5,8,6,QtoSolver,0.1953125,0.9765625,202.74479149771267,31,8.452259362034965,506.0998782849638,17408
1,0,2,5,8,6,QtoSimplifySolver,0.1953125,1.5625,203.46549462211206,31,7.539433204859961,507.0099391901167,17408
1,0,2,5,8,6,QtoSimplifyDiscardSolver,3.7109375,8.7890625,104.43945303796711,15,2.157067149877548,294.18485787010286,8704
1,0,2,5,8,6,QtoSimplifyDiscardSegmentedSolver,29.82456140350877,100.0,0.3011695903923,25,8.072917257901281,6148.089719557145,86016
1,0,3,5,8,6,HeaSolver,0.5859375,0.9765625,63.78773434948491,31,8.080065345740877,505.6867101022508,17408
1,0,3,5,8,6,PenaltySolver,0.9765625,1.7578125,64.67406247413037,31,8.617320374178234,504.82079029484885,17408
1,0,3,1,8,6,ChocoSolver,1.5625,3.125,61.38992185044403,16,3.972107535111718,293.42413919290993,9216
1,0,3,5,8,6,QtoSolver,1.5625,2.34375,65.07148434897141,31,7.727985059085768,505.9174316939316,17408
1,0,3,5,8,6,QtoSimplifySolver,0.1953125,1.5625,68.78695309748521,31,7.887469423934817,506.0974584290525,17408
1,0,3,5,8,6,QtoSimplifyDiscardSolver,1.7578125,3.3203125,63.32015622467193,31,7.958315266878344,506.62974607310025,17408
1,0,3,5,8,6,QtoSimplifyDiscardSegmentedSolver,7.6923076923076925,99.99999999999997,0.21230769222276918,31,19.34388526302064,16349.979295327968,206848
