
pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,3,5,6,3,PenaltySolver,1.7578125,6.93359375,77.6599120446584,71,3.4844917829032056,9984.67389651209,78
0,0,3,5,6,3,ChocoSolver,1.5625,5.6640625,88.25895174936754,71,4.663571075012442,35039.48804748099,78
0,0,3,5,6,3,QtoSolver,1.85546875,5.76171875,87.33919263555066,71,4.191620453071664,27405.01215737693,78
0,0,3,5,6,3,QtoSimplifySolver,1.5625,6.25,80.39941399550048,71,4.342586060083704,32893.51358721992,78
0,0,3,5,6,3,QtoSimplifyDiscardSolver,5.76171875,13.0859375,52.871337846565545,15,1.053267401031917,577.6553006489703,17
0,0,3,5,6,3,QtoSimplifyDiscardSegmentedSolver,30.781435938119795,100.0,0.7517519496578188,29,6.846928529077559,55788.87838370692,133
0,0,4,5,6,3,HeaSolver,1.85546875,6.15234375,70.94035988236402,71,3.000587888993323,9787.497103477013,78
0,0,4,5,6,3,PenaltySolver,1.85546875,7.8125,72.25837048410116,71,3.0975976339541376,7784.397079656046,78
0,0,4,5,6,3,ChocoSolver,1.66015625,5.76171875,72.64390340793292,71,4.642972129935515,37062.88571791006,78
0,0,4,5,6,3,QtoSolver,2.1484375,6.25,71.57107974798494,71,4.5459049821220106,33364.402125216875,78
0,0,4,5,6,3,QtoSimplifySolver,1.953125,6.73828125,71.0497348822859,71,4.298172274022363,36152.13628069099,78
0,0,4,5,6,3,QtoSimplifyDiscardSolver,6.0546875,12.40234375,45.56403456566854,15,0.9263897980126785,576.3389072199934,17
0,0,4,5,6,3,QtoSimplifyDiscardSegmentedSolver,31.180665610142633,100.0,0.9362972599153231,27,6.970760134950979,55629.20665411005,128
0,0,5,5,6,3,HeaSolver,0.87890625,4.1015625,69.24772130800152,71,3.171290270984173,10186.656967281015,78
0,0,5,5,6,3,PenaltySolver,2.44140625,5.95703125,60.84231766777179,71,3.0662235530035105,9787.449080004997,78
0,0,5,5,6,3,ChocoSolver,2.1484375,5.95703125,68.86471349575686,71,4.678700427131844,36498.64910004387,78
0,0,5,5,6,3,QtoSolver,1.07421875,4.39453125,74.44296870037135,71,4.316798245941754,35459.18399994205,78
0,0,5,5,6,3,QtoSimplifySolver,2.1484375,6.0546875,69.09811193310125,71,4.36932840103691,33746.36584716897,78
0,0,5,5,6,3,QtoSimplifyDiscardSolver,0.390625,11.328125,42.8896484089069,15,1.0956577100296272,577.5278273309668,17
0,0,5,5,6,3,QtoSimplifyDiscardSegmentedSolver,32.36641221374046,100.0,0.622977098821323,27,6.718190183979459,55714.30055124701,132
0,0,6,5,6,3,HeaSolver,1.07421875,5.95703125,141.55315269956694,71,3.307646275978186,9984.664920023017,78
