pkid,method,layers,depth,num_params
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
11,QtoSolver,5,12530,144
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,509,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
12,QtoSolver,5,749,9
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,2142,25
13,QtoSolver,5,1742,25
13,QtoSolver,5,2142,25
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4178,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,4818,64
14,QtoSolver,5,5458,64
14,QtoSolver,5,4818,64
