pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count
2,0,5,21,12,PenaltySolver,0,0,205.5254686677898,88
2,1,5,21,12,PenaltySolver,0,0,91.03013390256282,110
2,2,5,21,12,PenaltySolver,0,0,178.7418153910753,123
2,3,5,21,12,PenaltySolver,0,0,116.53676622694952,118
1,8,5,14,9,HeaSolver,0,0,149.27204967472522,301
1,9,5,14,9,HeaSolver,0,0,93.74641923958453,301
2,4,5,21,12,PenaltySolver,0,0,156.7199008926893,115
2,5,5,21,12,PenaltySolver,0,0,103.4193564694949,101
1,0,5,14,9,PenaltySolver,0,8.49609375,51.32617185525916,109
2,6,5,21,12,PenaltySolver,0,0,211.2621812210462,97
1,1,5,14,9,PenaltySolver,0.78125,1.46484375,52.00613062791496,100
2,7,5,21,12,PenaltySolver,0,0,124.30851233526153,98
1,2,5,14,9,PenaltySolver,0,0.1953125,70.30678011384092,122
1,3,5,14,9,PenaltySolver,0,0.09765625,51.638012682402994,104
1,4,5,14,9,PenaltySolver,0,0.9765625,54.422986242009316,115
1,5,5,14,9,PenaltySolver,1.5625,4.19921875,41.266668897408046,113
1,6,5,14,9,PenaltySolver,0.29296875,0.29296875,44.72869872115027,109
1,7,5,14,9,PenaltySolver,0.09765625,0.78125,52.2848465954793,112
1,8,5,14,9,PenaltySolver,0,0,124.68708875016469,101
1,9,5,14,9,PenaltySolver,0.09765625,0.5859375,70.10690101829769,92
1,0,5,14,9,ChocoSolver,99.51171875,100.0,0.004995492786540195,102
1,1,5,14,9,ChocoSolver,4.19921875,100.0,0.12472873260424201,95
1,2,5,14,9,ChocoSolver,32.91015625,100.0,0.0867187499752232,110
1,3,5,14,9,ChocoSolver,53.125,100.0,0.3382324217904419,109
1,4,5,14,9,ChocoSolver,80.56640625,100.0,0.10836476289366732,105
1,5,5,14,9,ChocoSolver,68.5546875,100.0,0.1917766701924908,100
1,6,5,14,9,ChocoSolver,90.8203125,100.0,0.045756022125884165,120
1,7,5,14,9,ChocoSolver,14.6484375,100.0,0.046112804866801756,106
1,8,5,14,9,ChocoSolver,99.8046875,100.0,0.0018503289463945637,115
1,9,5,14,9,ChocoSolver,48.4375,100.0,0.2871093749042969,93
1,0,5,14,9,NewSolver,96.97265625,100.0,0.03312800479495077,228
1,1,5,14,9,NewSolver,92.3828125,100.0,0.026068793395536447,245
1,2,5,14,9,NewSolver,62.98828125,100.0,0.022070312493694195,243
1,3,5,14,9,NewSolver,96.38671875,100.0,0.020996093744750977,246
1,4,5,14,9,NewSolver,96.97265625,100.0,0.015355603442980826,252
1,5,5,14,9,NewSolver,98.53515625,100.0,0.010035021548263785,241
1,6,5,14,9,NewSolver,99.12109375,100.0,0.0036010742179997763,281
1,7,5,14,9,NewSolver,88.76953125,100.0,0.007479039632322185,247
1,8,5,14,9,NewSolver,99.51171875,100.0,0.0015419407886621364,214
1,9,5,14,9,NewSolver,98.33984375,100.0,0.0073242187475585935,254
1,0,5,14,9,QTOSimplifySolver,96.58203125,100.0,0.025090144221119173,264
1,1,5,14,9,QTOSimplifySolver,9.1796875,100.0,0.10373263886007426,251
1,2,5,14,9,QTOSimplifySolver,92.3828125,100.0,0.01049107142557398,256
1,3,5,14,9,QTOSimplifySolver,92.87109375,100.0,0.03088378905477905,266
1,4,5,14,9,QTOSimplifySolver,80.6640625,100.0,0.06260102368531,234
1,5,5,14,9,QTOSimplifySolver,99.609375,100.0,0.0021551724130499405,291
1,6,5,14,9,QTOSimplifySolver,97.265625,100.0,0.010030110674993726,254
1,7,5,14,9,QTOSimplifySolver,88.57421875,100.0,0.007741044205429013,299
1,8,5,14,9,QTOSimplifySolver,98.2421875,100.0,0.009200246705684081,268
1,9,5,14,9,QTOSimplifySolver,97.16796875,100.0,0.011425781246191405,293
1,0,5,14,9,QTOSimplifyDiscardSolver,0,100.0,1.077148437085712,48
1,1,5,14,9,QTOSimplifyDiscardSolver,99.90234375,100.0,0.0004069010415536386,57
1,2,5,14,9,QTOSimplifyDiscardSolver,100.0,100.0,0.0,49
1,3,5,14,9,QTOSimplifyDiscardSolver,100.0,100.0,0.0,50
1,4,5,14,9,QTOSimplifyDiscardSolver,0,100.0,0.5866109911770306,60
1,5,5,14,9,QTOSimplifyDiscardSolver,0,100.0,0.5866109911770306,74
1,6,5,14,9,QTOSimplifyDiscardSolver,0,100.0,0.3336385090450753,58
