pkid,pbid,layers,variables,constraints,method,num_segments,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,28,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,21.19140625,100.0,0.39097377204216155,301,27.574480806477368,24.29670357843861,308224
0,29,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,90.13671875,100.0,0.0703124999296875,301,28.362481791060418,24.10646813362837,308224
0,30,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,13.76953125,100.0,0.1551649304693528,301,35.97284115618095,27.36489876359701,308224
0,31,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,89.84375,100.0,0.07478841139600965,301,30.39827455440536,25.71373979980126,308224
0,32,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,72.55859375,100.0,0.13183593733520507,301,25.389717753510922,24.664821544662118,308224
0,33,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0.9765625,100.0,0.13276367180861817,301,28.1124109858647,23.013969760388136,308224
0,34,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,57.03125,100.0,0.270616319294102,301,33.660892211832106,24.90870051411912,308224
0,35,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.015625,100.0,0.03151041664565972,301,27.985271756071597,24.22127589304,308224
0,36,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,80.2734375,100.0,0.08337402338539122,301,30.09040420455858,25.08228074479848,308224
0,37,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,61.328125,100.0,0.22137129922559404,301,34.295515527017415,24.500895618926734,308224
0,38,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,87.79296875,100.0,0.18909801119172906,301,27.90291123650968,23.20221902569756,308224
0,39,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,3.41796875,100.0,0.10432235049812072,301,30.280132975429296,25.771008189301938,308224
0,40,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,85.546875,100.0,0.09364149295150945,301,23.537895008921623,22.685692321974784,308224
0,41,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,88.28125,100.0,0.08398437494750977,301,31.584684705361724,24.271124597638845,308224
0,42,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,93.26171875,100.0,0.028988486826848164,301,24.823420441243798,20.47677066270262,308224
0,43,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,2.24609375,100.0,0.12726384937397098,301,29.07636035978794,19.649526240304112,308224
0,44,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,92.48046875,100.0,0.029482886890722433,301,25.898345161695033,22.004609088413417,308224
0,45,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,52.34375,100.0,0.12207031245304988,301,33.53919002925977,23.67286944296211,308224
0,46,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,52.9296875,100.0,0.12057674625260191,301,28.011132653336972,24.83673212165013,308224
0,47,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,86.71875,100.0,0.029668898795395762,301,32.83907275553793,23.677079464308918,308224
0,48,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.40625,100.0,0.05322265621673584,301,27.60994150582701,24.626527971122414,308224
